Phylum,color
Proteobacteria,#FBB4AE
Bacteroidota,#B3CDE3
Verrucomicrobiota,#CCEBC5
Firmicutes,#DECBE4
Myxococcota,#FED9A6
Thermoproteota,#FFFFCC
Actinobacteriota,#E5D8BD
Chloroflexota,#FDDAEC
Patescibacteria,#F2F2F2
Desulfobacterota_B,#B3E2CD
Acidobacteriota,#FDCDAC
Methylomirabilota,#CBD5E8
Nitrospirota,#F4CAE4
Gemmatimonadota,#E6F5C9
Planctomycetota,#FFF2AE
Tectomicrobia,#F1E2CC
Armatimonadota,#CCCCCC
UBA10199,#8DD3C7
Myxococcota_A,#FFFFB3
Krumholzibacteriota,#BEBADA
Eisenbacteria,#FB8072
Bdellovibrionota,#80B1D3
Goldbacteria,#FDB462
RBG-13-61-14,#B3DE69
Cyanobacteria,#F8F8B6
Fibrobacterota,#D68E8F
