ID,Description,K_num,Exist_K_num,Significant_K_num,Significant_up_num,Significant_down_num,Z_score,BG_Mean,BG_Sd,ReporterScore,p.value,p.adjust
map02010,ABC transporters,515,453,364,26,338,-66.52919782,-36.36786059,3.14134244546785,-9.601416514,0.001,0.0095
map01052,Type I polyketide structures,127,110,97,7,90,-34.91951028,-17.96294477,3.16880841455356,-5.351085738,0.001,0.0095
map02040,Flagellar assembly,55,51,47,3,44,-28.59596228,-12.26946176,3.09504856107906,-5.275038565,0.001,0.0095
map00543,Exopolysaccharide biosynthesis,73,48,44,1,43,-28.75064621,-11.9256147,3.20577126159372,-5.248356833,0.001,0.0095
map03070,Bacterial secretion system,74,71,58,2,56,-30.81543933,-14.28382495,3.25783563614529,-5.074416339,0.001,0.0095
map02024,Quorum sensing,283,229,175,15,160,-39.99294686,-25.75891575,3.14062141310531,-4.53223399,0.001,0.0095
map02030,Bacterial chemotaxis,26,26,23,1,22,-20.62803971,-8.623979854,3.14329780806636,-3.818938132,0.001,0.0095
map02020,Two-component system,520,469,349,55,294,-47.18207074,-36.97097513,3.04504270756064,-3.353350539,0.001,0.0095
map00470,D-Amino acid metabolism,55,48,39,4,35,-21.10039754,-11.8682445,3.04523763113536,-3.03166917,0.003,0.0192676056338028
map00522,"Biosynthesis of 12-, 14- and 16-membered macrolides",59,34,29,1,28,-19.22754074,-9.886132678,3.12600248129567,-2.988291954,0.001,0.0095
map01053,Biosynthesis of siderophore group nonribosomal peptides,36,30,30,3,27,-18.30209005,-9.480280113,3.19905428235852,-2.757630586,0.001,0.0095
map01051,Biosynthesis of ansamycins,32,30,23,1,22,-17.67256474,-9.39759074,3.00108171333564,-2.757330454,0.004,0.0219759036144578
map00052,Galactose metabolism,78,62,45,4,41,-22.02022594,-13.50259228,3.22761127544234,-2.638989934,0.005,0.0242553191489362
map00984,Steroid degradation,15,15,13,0,13,-14.78768571,-6.533313611,3.21400403231158,-2.568251943,0.003,0.0192676056338028
map02025,Biofilm formation - Pseudomonas aeruginosa,90,85,63,8,55,-24.19148319,-15.7657707,3.2816735965393,-2.567504731,0.006,0.0282061855670103
map00253,Tetracycline biosynthesis,17,16,14,1,13,-14.6290367,-6.839606027,3.23787151588286,-2.405725685,0.005,0.0242553191489362
map00040,Pentose and glucuronate interconversions,90,76,61,13,48,-22.44651002,-14.91590907,3.13877502650157,-2.399216536,0.005,0.0242553191489362
map00780,Biotin metabolism,24,18,12,0,12,-14.30592452,-7.228573068,2.99791815999847,-2.360755389,0.005,0.0242553191489362
map00791,Atrazine degradation,16,14,11,1,10,-14.10078499,-6.377208601,3.29863159103345,-2.341448621,0.005,0.0242553191489362
map00280,"Valine, leucine and isoleucine degradation",71,65,42,15,27,-6.438962183,-13.7378089,3.08253349539778,2.36780775441534,0.011,0.0407804878048781
map00623,Toluene degradation,46,41,23,10,13,-2.591126205,-10.83834823,3.15668348155606,2.61262241696865,0.008,0.0337777777777778
map00195,Photosynthesis,63,49,10,3,7,-3.76407327,-12.05925378,3.1668447459823,2.61938338550983,0.004,0.0219759036144578
map00910,Nitrogen metabolism,69,59,43,17,26,-4.520843891,-13.1272318,3.27275616278197,2.62970642427677,0.006,0.0282061855670103
map00100,Steroid biosynthesis,34,29,11,6,5,-0.507333486,-9.03078728,3.17443489082742,2.68503027690616,0.005,0.0242553191489362
map03015,mRNA surveillance pathway,63,25,17,8,9,-0.025620212,-8.574278171,3.15133272128659,2.7127119587781,0.011,0.0407804878048781
map03420,Nucleotide excision repair,61,29,18,9,9,-0.424383176,-9.123768709,3.16873131537819,2.74538440396569,0.006,0.0282061855670103
map03018,RNA degradation,79,39,26,10,16,-2.110496761,-10.67295777,3.08512432846596,2.77540225144504,0.002,0.0154576271186441
map00196,Photosynthesis - antenna proteins,42,29,4,3,1,-0.236710766,-9.194335202,3.12351897002711,2.86779895458265,0.005,0.0242553191489362
map00590,Arachidonic acid metabolism,51,35,21,10,11,-0.80525801,-9.962985063,3.09977957684904,2.95431556544332,0.004,0.0219759036144578
map00650,Butanoate metabolism,114,99,69,25,44,-7.262288456,-17.01012104,3.23802222012298,3.01042794539824,0.002,0.0154576271186441
map00627,Aminobenzoate degradation,89,77,52,22,30,-5.361415343,-14.8788283,3.1322855354679,3.03848830018126,0.003,0.0192676056338028
map00190,Oxidative phosphorylation,224,135,80,28,52,-9.676031035,-19.86416062,3.15852681942626,3.22559540147701,0.002,0.0154576271186441
map00365,Furfural degradation,8,8,6,5,1,5.37333813095441,-4.753199201,3.02000640658964,3.35315094364352,0.001,0.0095
map00633,Nitrotoluene degradation,23,21,15,9,6,4.15815529213448,-7.831200247,3.15954083318527,3.79465123959742,0.001,0.0095
map00020,Citrate cycle (TCA cycle),70,54,34,17,17,0.309227369485741,-12.53272137,3.13206365110835,4.10015573413126,0.001,0.0095
map00680,Methane metabolism,195,159,116,47,69,-8.100633939,-21.45589922,3.20791317582468,4.16322529671354,0.001,0.0095
map04141,Protein processing in endoplasmic reticulum,144,49,25,12,13,1.33884434316894,-11.8387635,3.13593234109336,4.2021339788476,0.001,0.0095
map00524,"Neomycin, kanamycin and gentamicin biosynthesis",58,41,23,12,11,3.06203036478919,-10.76128275,3.14987210444098,4.3885315512552,0.001,0.0095
map03010,Ribosome,143,92,60,35,25,5.80643479525599,-16.38886832,3.27849176463967,6.76997372923219,0.001,0.0095
map03020,RNA polymerase,66,24,18,16,2,14.0817369789899,-8.409959462,3.16235057242577,7.11233493128122,0.001,0.0095
map00720,Other carbon fixation pathways,121,96,61,38,23,6.15630077705082,-16.76960903,3.03880717076554,7.54437794639941,0.001,0.0095
