"KO","Direction","W","p_adj","median_RP","median_RS"
"a","RP_enrich",143,0.002079,11766.615404,10556.510381
"b","RP_enrich",153,0.0005635,14285.406495,8810.45603099999
"c","RP_enrich",153,0.0005635,7125.010972,4674.467415
"d","NS",NA,NA,384.470002,402.852983
"e","RP_enrich",143,0.002079,11766.615404,10556.510381
"f","RS_enrich",0,0.000672,2297.66579600001,3343.93370700002
"g","RP_enrich",153,0.0005635,2478.486856,1702.052184
"h","RS_enrich",1,0.000672,615.978422,772.034974
"i","RP_enrich",153,0.0005635,50.97886,16.568734
"j","RS_enrich",1,0.000672,73.477814,114.388826
"k","NS",NA,NA,248.860397,241.76136
"l","RP_enrich",124,0.026,9676.72567199998,8916.756867
"m","RS_enrich",0,0.000672,2297.66579600001,3343.93370700002
"n","NS",NA,NA,9.119062,9.065581
