Process,stage,KO
Dissimilatory nitrate reduction,a,K00370
Dissimilatory nitrate reduction,a,K00371
Dissimilatory nitrate reduction,a,K00374
Dissimilatory nitrate reduction,a,K02567
Dissimilatory nitrate reduction,a,K02568
Dissimilatory nitrate reduction,b,K00362
Dissimilatory nitrate reduction,b,K00363
Dissimilatory nitrate reduction,b,K03385
Dissimilatory nitrate reduction,b,K15876
Assimilatory nitrate reduction,c,K00367
Assimilatory nitrate reduction,c,K10534
Assimilatory nitrate reduction,c,K00372
Assimilatory nitrate reduction,c,K00360
Assimilatory nitrate reduction,d,K17877
Assimilatory nitrate reduction,d,K00366
Assimilatory nitrate reduction,d,K26139
Assimilatory nitrate reduction,d,K26138
Assimilatory nitrate reduction,d,K00361
Denitrification ,e,K00370
Denitrification ,e,K00371
Denitrification ,e,K00374
Denitrification ,e,K02567
Denitrification ,e,K02568
Denitrification ,f,K00368
Denitrification ,f,K15864
Denitrification ,g,K04561
Denitrification ,g,K02305
Denitrification ,h,K00376
Nitrogen fixation,i,K02586
Nitrogen fixation,i,K02588
Nitrogen fixation,i,K02591
Nitrogen fixation,i,K00531
Nitrogen fixation,i,K22896
Nitrogen fixation,i,K22897
Nitrogen fixation,i,K22898
Nitrogen fixation,i,K22899
Nitrification,j,K10944
Nitrification,j,K10945
Nitrification,j,K10946
Nitrification,k,K10535
Nitrification,l,K00370
Nitrification,l,K00371
Anammox,m,K00368
Anammox,m,K15864
Anammox,n,K20932
Anammox,n,K20933
Anammox,n,K20934
Anammox,o,K20935
