"","Species","Total","Group"
"cellulose.Actinobacteria","Actinobacteria",173705.019011,"cellulose"
"cellulose.Proteobacteria","Proteobacteria",36581.34951,"cellulose"
"cellulose.Bacteroidetes","Bacteroidetes",22950.876724,"cellulose"
"cellulose.Firmicutes","Firmicutes",2062.182187,"cellulose"
"cellulose.Acidobacteria","Acidobacteria",1338.960911,"cellulose"
"cellulose....6","Others",1293.68679800001,"cellulose"
"chitin.Actinobacteria","Actinobacteria",89296.21335,"chitin"
"chitin.Firmicutes","Firmicutes",13905.03005,"chitin"
"chitin.Proteobacteria","Proteobacteria",5329.163518,"chitin"
"chitin.Bacteroidetes","Bacteroidetes",3027.166887,"chitin"
"chitin.Chloroflexi","Chloroflexi",277.992673,"chitin"
"chitin....6","Others",532.707004000011,"chitin"
"glucans.Actinobacteria","Actinobacteria",43047.967559,"glucans"
"glucans.Proteobacteria","Proteobacteria",12382.28289,"glucans"
"glucans.Bacteroidetes","Bacteroidetes",4216.770072,"glucans"
"glucans.Firmicutes","Firmicutes",3029.534752,"glucans"
"glucans.Acidobacteria","Acidobacteria",767.978505,"glucans"
"glucans....6","Others",851.010352999998,"glucans"
"hemicellulose.Actinobacteria","Actinobacteria",363885.424718001,"hemicellulose"
"hemicellulose.Proteobacteria","Proteobacteria",118831.561673,"hemicellulose"
"hemicellulose.Firmicutes","Firmicutes",48362.483168,"hemicellulose"
"hemicellulose.Bacteroidetes","Bacteroidetes",24918.586008,"hemicellulose"
"hemicellulose.Acidobacteria","Acidobacteria",5270.517806,"hemicellulose"
"hemicellulose....6","Others",8870.62218399998,"hemicellulose"
"pectin.Actinobacteria","Actinobacteria",28689.994548,"pectin"
"pectin.Proteobacteria","Proteobacteria",8383.176884,"pectin"
"pectin.Bacteroidetes","Bacteroidetes",5891.933094,"pectin"
"pectin.Firmicutes","Firmicutes",1759.23076,"pectin"
"pectin.Acidobacteria","Acidobacteria",1494.525834,"pectin"
"pectin....6","Others",649.188442999999,"pectin"
"starch.Actinobacteria","Actinobacteria",55878.03573,"starch"
"starch.Firmicutes","Firmicutes",6338.863009,"starch"
"starch.Proteobacteria","Proteobacteria",1266.88497,"starch"
"starch.Unclassified","Unclassified",428.607136,"starch"
"starch.Gemmatimonadetes","Gemmatimonadetes",256.657405,"starch"
"starch....6","Others",296.388853999997,"starch"
"xylan.Actinobacteria","Actinobacteria",254043.400015,"xylan"
"xylan.Proteobacteria","Proteobacteria",77061.230811,"xylan"
"xylan.Bacteroidetes","Bacteroidetes",14827.483587,"xylan"
"xylan.Firmicutes","Firmicutes",13514.590092,"xylan"
"xylan.Acidobacteria","Acidobacteria",2200.150777,"xylan"
"xylan....6","Others",2979.03646000003,"xylan"
