Type,Trait,r,p_value,significance
Cazy,MSPW,0.362921616335099,0.002,**
Cazy,MSSN,0.0123197163021513,0.424,ns
Cazy,SGN,0.13780658273418,0.181,ns
Cazy,HGW,0.0644914245209047,0.292,ns
Cazy,TSLL,-0.104399392,0.742,ns
Cazy,TSLW,-0.015492706,0.496,ns
Cazy,MSH,0.463678715331146,0.001,**
Cazy,MSD,0.305945805461836,0.038,*
Cazy,FNL,0.110090692671892,0.208,ns
Cazy,MSPD,0.400423645428516,0.005,**
Cazy,MSPL,0.0230599589991858,0.4,ns
Cazy,PGW,0.365783434875757,0.001,**
KEGG,MSPW,0.409656027861266,0.001,**
KEGG,MSSN,0.0305177790350734,0.379,ns
KEGG,SGN,0.109160389106672,0.227,ns
KEGG,HGW,-0.071522992,0.685,ns
KEGG,TSLL,0.00419830302694086,0.442,ns
KEGG,TSLW,0.0342943712469948,0.343,ns
KEGG,MSH,0.52476879517203,0.001,**
KEGG,MSD,0.363389363200472,0.011,*
KEGG,FNL,0.0105386696183138,0.425,ns
KEGG,MSPD,0.406778326817857,0.003,**
KEGG,MSPL,0.0973828246801241,0.257,ns
KEGG,PGW,0.405035089146774,0.001,**
MAG,MSPW,0.308363150613043,0.009,**
MAG,MSSN,-0.016377779,0.516,ns
MAG,SGN,-0.012728461,0.468,ns
MAG,HGW,-0.065915872,0.698,ns
MAG,TSLL,-0.049170239,0.607,ns
MAG,TSLW,-0.022905061,0.563,ns
MAG,MSH,0.415956413991954,0.001,**
MAG,MSD,0.280591062087227,0.039,*
MAG,FNL,0.124808572152425,0.176,ns
MAG,MSPD,0.264046076212544,0.03,*
MAG,MSPL,0.10144759866736,0.225,ns
MAG,PGW,0.301680748444578,0.01,*
