Group,Plant_Height,Root_Length,Root_Weight,Plant_Weight
CK,17.8,4.8,13,273
CK,21.1,3.1,6,161
CK,20.4,4.1,11,156
CK,17.7,4.7,5,113
CK,15.5,4.3,4,92
CK,13.4,1.7,4,92
CK,10.1,5.7,26,58
CK,12.7,2.8,15,96
MAG_081,23.5,5,11,240
MAG_081,27.7,6.2,19,315
MAG_081,23.9,5.5,10,220
MAG_081,22.7,4.6,15,261
MAG_081,24.6,5.7,22,282
MAG_081,24.1,5.2,13,261
MAG_081,18.6,7.2,18,228
MAG_081,18.5,6.8,9,184
MAG_159,24.5,5.5,23,331
MAG_159,30.7,5.5,35,588
MAG_159,24.2,5.7,15,290
MAG_159,17.6,7.2,19,135
MAG_159,24.2,7.1,8,95
MAG_159,19,6,14,93
MAG_159,15.6,4.3,5,99
MAG_159,22.7,5.3,22,101
